Fluorophore,Detector,Tandem,Citation
mFluor UV375,UV1,,
Spark UV 387,UV1,,
Live-or-Dye 330-410,UV2,,
BUV395,UV2,FALSE,
CellTrace Blue,UV2,,
SBUV400,UV2,,
Spark PLUS UV 395,UV2,,
Zombie UV,UV6,,
VIVAFIX 353-442,UV6,,
Live-or-Dye 350-448,UV6,,
GloCell UV 450,UV6,,
Fixable Viability Dye 455UV,UV6,,
Ghost Dye UV 450,UV6,,
CellTrace Calcein Blue AM,UV6,,
LIVE DEAD Blue,UV6,,
iFluor 350,UV6,,
cFluor UV440,UV6,,
SBUV445,UV6,,
BUV496,UV7,TRUE,
cFluor UV515,UV7,,
SBUV510,UV7,,
DAPI,UV7,,
mFluor UV460,UV7,,
Fixable Viability Stain 440UV,UV7,,
DyLight 350,UV7,,
Hoechst 33342,UV7,,
Alexa Fluor 350,UV7,FALSE,
BUV563,UV9,TRUE,
cFluor UV570,UV9,,
SBUV575,UV9,,
BUV615,UV10,TRUE,
cFluor UV610,UV10,,
SBUV605,UV10,,
BUV661,UV11,TRUE,
cFluor UV670,UV11,,
SBUV665,UV11,,
BUV737,UV14,TRUE,
cFluor UV745,UV14,,
SBUV740,UV14,,
BUV805,UV16,TRUE,
cFluor UV790,UV16,,
SBUV795,UV16,,
BV421,V1,FALSE,
cFluor V435,V2,,
SBV440,V2,,
Vio Bright V423,V2,,
Super Bright 436,V2,FALSE,
cFluor V420,V2,FALSE,
Alexa Fluor 405,V2,FALSE,
CF405S,V2,,
Zombie Violet,V2,,
ViaKrome 405,V2,,
Spark Violet 423,V2,FALSE,
iFluor 405,V2,,
CoraLite Plus 405,V2,,
DyLight 405,V2,,
mTagBFP2,V3,,
PO-PRO-1 Iodide,V3,,
BFP,V3,,
VIVAFIX 410-450,V3,,
violetFluor 450,V3,,
mFluor Violet 450,V3,,
GloCell Violet 450,V3,,
eFluor 450,V3,FALSE,
Ghost Dye Violet 450,V3,,
VioBlue,V3,FALSE,
CellTrace Violet,V3,,
Tag-It Violet,V3,,
Viobility 405-452,V3,,
Pacific Blue,V3,FALSE,
Live-or-Dye 405-452,V3,,
LIVE DEAD Violet,V3,,
Atlantic Blue,V3,,
cFluor V450,V3,FALSE,
V450,V3,FALSE,
Fixable Viability Stain 450,V3,,
CBD450,V3,,
CF405M,V3,,
SYTOX Blue,V4,,
CF430,V5,,
Monochlorobimane,V5,,
CFP,V5,,
eCFP,V5,,
BV480,V5,FALSE,
cFluor V475,V5,,
SBV475,V5,,
AmCyan,V5,FALSE,
vexGFP,V5,,
cFluor V505,V5,FALSE,
Spark Violet 500,V5,,
iFluor 430,V5,,
violetFluor 500,V5,,
MultiDot 520,V6,,
Sapphire,V6,,
cFluor V515,V6,,
SBV515,V6,,
Qdot 525,V7,,
Ghost Dye Violet 540,V7,,
LIVE DEAD Yellow,V7,,
